Subject,Subject Desc,Course Number,Title,Academic Period,Academic Period Desc,Section,CRN,Instructor,A,A-,A+,AU,B,B-,B+,C,C-,C+,D,D-,D+,E,F,I,N,NS,P,PI,S,SI,U,W,WF,WN,
,,,,,,Y01,28131,"Wharry, Janelle P.",39.50%,5.60%,4.50%,,11.90%,6.20%,18.60%,4.00%,1.10%,4.00%,,1.10%,,,2.30%,,,,,,,,,1.10%,,,
,,,Struc & Prop Of Mat-Honors,202320,Spring 2023,1,11451,"Wharry, Janelle P.",,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Y01,28131,"Wharry, Janelle P.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23500,Mat Properties Lab,202320,Spring 2023,1,20108,"Johnson, David R.",18.90%,16.20%,5.40%,,16.20%,,21.60%,5.40%,2.70%,5.40%,,,,,2.70%,,,,,,,,,5.40%,,,
,,25000,Physical Prop In Engr Systems,202320,Spring 2023,1,60875,"Davis, Chelsea S.",13.80%,3.40%,13.80%,,3.40%,20.70%,,10.30%,10.30%,6.90%,3.40%,,3.40%,,10.30%,,,,,,,,,,,,
,,26000,Thermodynamics Of Materials,202320,Spring 2023,1,49580,"Piercey, Davin G.",22.00%,6.00%,12.00%,,10.00%,20.00%,12.00%,2.00%,,8.00%,4.00%,,2.00%,,2.00%,,,,,,,,,,,,
,,27000,Atomistic Materials Science,202320,Spring 2023,1,41367,"Blendell, John E.",7.30%,,7.30%,,23.60%,12.70%,9.10%,14.50%,9.10%,,3.60%,,,,9.10%,,,,,,,,,3.60%,,,
,,33000,Process & Prop Of Materials,202320,Spring 2023,1,41370,"Erk, Kendra A.",34.80%,18.20%,,,27.30%,3.00%,7.60%,3.00%,1.50%,3.00%,1.50%,,,,,,,,,,,,,,,,
,,33500,Mat Character Lab,202320,Spring 2023,1,19368,"Okuniewski, Maria A.",22.20%,5.60%,,,27.80%,5.60%,16.70%,11.10%,,5.60%,,,,,,,,,,,,,,5.60%,,,
,,34000,Transport Phenomena,202320,Spring 2023,1,19561,"Titus, Michael S.",,6.70%,,,23.30%,20.00%,6.70%,6.70%,6.70%,10.00%,6.70%,,6.70%,,6.70%,,,,,,,,,,,,
,,36700,Materials Process Lab,202320,Spring 2023,1,22811,"Heichel, Danielle L.",26.80%,,,,43.90%,7.30%,9.80%,,4.90%,4.90%,,,2.40%,,,,,,,,,,,,,,
,,38200,Mech Response Material,202320,Spring 2023,1,22816,"Strachan, Alejandro H",7.90%,6.60%,3.90%,,15.80%,18.40%,2.60%,6.60%,3.90%,11.80%,13.20%,,,,5.30%,,,,,,,,,2.60%,1.30%,,
,,39000,Materials Engr Seminar,202320,Spring 2023,1,22817,"Chawla, Nikhilesh",,,,,,,,,,,,,,,,,,,,,73.80%,,25.20%,0.90%,,,
,,,,,,2,28138,"Chawla, Nikhilesh",,,,,,,,,,,,,,,,,,,,,55.20%,,44.80%,,,,
,,44000,Mat Process Design II,202320,Spring 2023,1,18865,"Gildemeister, David R.",14.90%,29.80%,8.50%,,8.50%,10.60%,25.50%,2.10%,,,,,,,,,,,,,,,,,,,
,,49900,Independent Research,202320,Spring 2023,1,19888,"Johnson, David R.",85.70%,,14.30%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,19889,"Johnson, David R.",86.70%,,13.30%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,19893,"Johnson, David R.",72.20%,,27.80%,,,,,,,,,,,,,,,,,,,,,,,,
,,50200,Defects In Solids,202320,Spring 2023,1,64869,"Marinero-Caceres, Esteban E.",45.00%,10.00%,15.00%,,5.00%,,20.00%,,,,,,,,,,,,,,,,,5.00%,,,
,,51000,Micro Charac Technique,202320,Spring 2023,1,25831,"Kvam, Eric P.",20.00%,23.30%,,,13.30%,6.70%,30.00%,,,,,,,,3.30%,,,,,,,,,3.30%,,,
,,52500,Struct-Prop Eng Polymr,202320,Spring 2023,1,17923,"Howarter, John A.",54.50%,22.70%,,4.50%,4.50%,,13.60%,,,,,,,,,,,,,,,,,,,,
,,52700,Biomaterials,202320,Spring 2023,WNG,28769,"Rahimi, Rahim",87.20%,,,,2.10%,,2.10%,2.10%,,,,,,,4.30%,,,,,,,,,2.10%,,,
,,53600,Solidifica Of Casting,202320,Spring 2023,1,24153,"Gildemeister, David R.",18.80%,25.00%,,,12.50%,18.80%,,6.30%,,6.30%,,,6.30%,,6.30%,,,,,,,,,,,,
,,56200,Soft Materials,202320,Spring 2023,1,24155,"Martinez, Carlos J.",20.90%,11.60%,20.90%,,7.00%,7.00%,18.60%,2.30%,,7.00%,,2.30%,2.30%,,,,,,,,,,,,,,
,,59700,Deformation Processing,202320,Spring 2023,16,24151,"Zhang, Xinghang",28.60%,7.10%,21.40%,,7.10%,,14.30%,7.10%,7.10%,7.10%,,,,,,,,,,,,,,,,,
,,,Additive Mfg Of Materials,202320,Spring 2023,WN2,28352,"Trumble, Kevin P.",14.60%,10.40%,22.90%,,4.20%,10.40%,25.00%,2.10%,,6.30%,,,,,,,,,,,,,,4.20%,,,
,,,Hypersonics,202320,Spring 2023,11,28183,"Trice, Rodney W.",26.70%,,20.00%,6.70%,6.70%,13.30%,26.70%,,,,,,,,,,,,,,,,,,,,
,,,Lean Manufacturing,202320,Spring 2023,OL1,29983,"Mort, Paul R.",35.70%,14.30%,,,14.30%,7.10%,25.00%,,,,,,,,,3.60%,,,,,,,,,,,
,,,,,,WNG,69908,"Mort, Paul R.",39.00%,35.60%,1.70%,1.70%,5.10%,,15.30%,1.70%,,,,,,,,,,,,,,,,,,,
,,,Modeling&Simulation Materials,202320,Spring 2023,5,17426,"Mannodi Kanakkithodi, Arun Kumar",28.60%,7.10%,7.10%,,42.90%,7.10%,7.10%,,,,,,,,,,,,,,,,,,,,
,,,Sustainable Electronics,202320,Spring 2023,17,24152,"Howarter, John A.",83.30%,,16.70%,,,,,,,,,,,,,,,,,,,,,,,,
,,69000,Semnr Materials Engr,202320,Spring 2023,1,34178,"Davis, Chelsea S.",,,,,,,,,,,,,,,,,,,,,95.70%,,3.40%,0.90%,,,
,,69700,Materls Engr Teach Experience,202320,Spring 2023,3,37858,"Stanciu-Gregory, Lia A.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,69900,Research PhD Thesis,202320,Spring 2023,36,17995,"Wang, Haiyan",,,,,,,,,,,,,,,,,,,,,100.00%,,,,,,
MSL,MSL-Military Science & Ldrshp,10200,Foundations Of Leadership,202320,Spring 2023,1,38306,"Churchill, Michael D.",35.30%,23.50%,35.30%,,,,,,5.90%,,,,,,,,,,,,,,,,,,
,,,,,,3,38308,"Churchill, Michael D.",54.50%,27.30%,18.20%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,38309,"Churchill, Michael D.",36.40%,36.40%,9.10%,,,,9.10%,,,,,,,,9.10%,,,,,,,,,,,,
,,20200,Army Doctrine Decision Making,202320,Spring 2023,1,22892,"Keaton, Richard A.",59.10%,9.10%,31.80%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,22894,"Keaton, Richard A.",20.00%,8.00%,68.00%,,,,4.00%,,,,,,,,,,,,,,,,,,,,
,,30200,Applied Ldrshp In Sm Unit Ops,202320,Spring 2023,1,22897,"Huggett, Christopher",36.40%,9.10%,27.30%,,9.10%,,9.10%,,,,,,,,,,,,,,,,,9.10%,,,
,,,,,,2,22898,"Huggett, Christopher",27.80%,33.30%,27.80%,,5.60%,,,,,5.60%,,,,,,,,,,,,,,,,,
,,40200,Company Grade Leadership,202320,Spring 2023,6,14373,"Garcia, Jason M.",3.20%,25.80%,,,16.10%,6.50%,25.80%,3.20%,3.20%,6.50%,3.20%,,,,,,,,,,,,,,6.50%,,
MUS,MUS-Music History & Theory,10100,Discovery Forum,202320,Spring 2023,1,14488,"Bulow, Harry T.",,,,,,,,,,,,,,,,,,,,,77.30%,,13.60%,9.10%,,,
,,11200,Fundamentals Of Music,202320,Spring 2023,1,14417,"Yun, Yeon Ji",28.10%,15.60%,12.50%,,15.60%,3.10%,3.10%,6.30%,,9.40%,,,3.10%,,,,,,,,,,,3.10%,,,
,,13200,Music Theory I,202320,Spring 2023,1,10113,"Bodine, Gerald B.",33.30%,,13.30%,,,13.30%,,,6.70%,,,,6.70%,,6.70%,,,,13.30%,,,,,6.70%,,,
,,,,,,4,10120,"Yun, Yeon Ji",24.00%,20.00%,12.00%,,4.00%,8.00%,16.00%,,8.00%,4.00%,,,,,,,,,,,,,,4.00%,,,
,,,,,,5,24042,"Mccullough, Allen T.",30.00%,5.00%,10.00%,,20.00%,5.00%,15.00%,5.00%,,,,,5.00%,,5.00%,,,,,,,,,,,,
,,13300,Music Theory II,202320,Spring 2023,1,14530,"Bodine, Gerald B.",21.10%,10.50%,21.10%,,5.30%,,15.80%,,,,5.30%,5.30%,,,10.50%,,,,,,,,,5.30%,,,
,,,Music Theory II-Honors,202320,Spring 2023,1,14530,"Bodine, Gerald B.",,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,16100,Class Piano I,202320,Spring 2023,1,14321,"Bulow, Ellen",43.80%,,25.00%,,12.50%,,,6.30%,,,6.30%,,,,6.30%,,,,,,,,,,,,
,,,,,,2,22844,"Bulow, Ellen",43.80%,,25.00%,,6.30%,,12.50%,,,,,,,,,,,,,,,,,12.50%,,,
,,16200,Class Piano II,202320,Spring 2023,1,14323,"Bulow, Ellen",37.50%,,6.30%,,18.80%,,,12.50%,,,,,,,6.30%,,,,6.30%,,,,,12.50%,,,
,,25000,Music Appreciation,202320,Spring 2023,3,17469,"Warden, Nolan M.",15.00%,17.50%,5.00%,,10.00%,15.00%,17.50%,,5.00%,2.50%,,,,,7.50%,,,,,,,,,5.00%,,,
,,,,,,4,14536,"Monical, Dwight L.",65.10%,,,,14.00%,,,14.00%,,,,,,,4.70%,,,,,,,,,2.30%,,,
,,,,,,5,14537,"Blon, David M.",64.40%,,,,22.20%,,,8.90%,,,,,,,2.20%,,,,,,,,,2.20%,,,
,,,,,,6,26993,"Monical, Dwight L.",70.60%,,,,17.60%,,,5.90%,,,,,,,3.90%,,,,,,,,,2.00%,,,
,,,,,,Y01,15117,"Monical, Dwight L.",58.10%,,,,16.30%,,,7.00%,,,4.70%,,,,4.70%,,,,,,,,,9.30%,,,
,,,Music Appreciation-Honors,202320,Spring 2023,4,14536,"Monical, Dwight L.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27000,Computer Skills In Music,202320,Spring 2023,1,13869,"Taylor, Monte H.",20.00%,,53.30%,,,6.70%,6.70%,,6.70%,,,,,,6.70%,,,,,,,,,,,,
,,,,,,2,22592,"Taylor, Monte H.",20.00%,13.30%,20.00%,,13.30%,6.70%,13.30%,6.70%,,,,,,,6.70%,,,,,,,,,,,,
,,29200,"Music, Media, And Technology",202320,Spring 2023,1,14544,"Cayari, Christopher P.",29.40%,,17.60%,,23.50%,,5.90%,,,5.90%,,,,,5.90%,,,,,,,,,11.80%,,,
,,32400,Teach Music Elem Schl,202320,Spring 2023,1,20634,"Dubikovsky, Nadya Nadegda N.",61.50%,,,,30.80%,,,7.70%,,,,,,,,,,,,,,,,,,,
,,,,,,2,20650,"Dubikovsky, Nadya Nadegda N.",76.90%,,,,7.70%,,,7.70%,,,,,,,,,,,,,,,,7.70%,,,
,,,,,,3,14435,"Dubikovsky, Nadya Nadegda N.",71.40%,,,,28.60%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,17473,"Cayari, Christopher P.",38.50%,,15.40%,,23.10%,,7.70%,,,,,,,,15.40%,,,,,,,,,,,,
,,35100,Studio Piano,202320,Spring 2023,18,14880,"Dubikovsky, Nadya Nadegda N.",64.30%,,,,,,,7.10%,,,,,,,7.10%,,,,14.30%,,,,,7.10%,,,
,,35200,Studio Voice,202320,Spring 2023,1,16182,"Dekle, James E.",80.00%,,,,13.30%,,6.70%,,,,,,,,,,,,,,,,,,,,
,,37600,World Music,202320,Spring 2023,1,13018,"Hooker, Lynn M.",28.00%,20.00%,,,16.00%,8.00%,12.00%,4.00%,,4.00%,,,,,,,,,,,,,,8.00%,,,
,,,World Music-Honors,202320,Spring 2023,1,13018,"Hooker, Lynn M.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,37800,Jazz History,202320,Spring 2023,2,22927,"Weiss, Daniel",42.10%,10.50%,21.10%,,10.50%,,10.50%,,,,,,,,,,,,,,,,,5.30%,,,
,,,,,,3,14457,"Harris, Jarrard L.",65.00%,,20.00%,,10.00%,5.00%,,,,,,,,,,,,,,,,,,,,,
,,,Jazz History-Honors,202320,Spring 2023,2,22927,"Weiss, Daniel",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,38200,Music History II,202320,Spring 2023,1,14487,"Hooker, Lynn M.",63.60%,4.50%,,,13.60%,,4.50%,,9.10%,,,,,,,4.50%,,,,,,,,,,,
,,,Music History II-Honors,202320,Spring 2023,1,14487,"Hooker, Lynn M.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,49000,History Of Rock Music,202320,Spring 2023,5,15207,"Guberman, Daniel A.",52.50%,7.50%,7.50%,,7.50%,2.50%,15.00%,,,,2.50%,,,,,,,,,,,,,5.00%,,,
NRES,NRES-Natural Res & Environ Sci,12500,Environmental Scienc & Conserv,202320,Spring 2023,1,10296,"Dunning, John B.",10.80%,21.60%,,,29.70%,5.40%,10.80%,8.10%,,2.70%,,,,,8.10%,,,,,,,,,2.70%,,,
,,20000,Intro Environ Careers,202320,Spring 2023,1,22944,"Bowling, Laura C.",20.40%,6.10%,53.10%,,6.10%,,6.10%,2.00%,,2.00%,,,,,4.10%,,,,,,,,,,,,
,,23000,Survey Of Meteorology,202320,Spring 2023,1,12078,"Jones, Jhordanne J.",25.80%,29.00%,12.90%,,,16.10%,9.70%,,3.20%,,,,,,3.20%,,,,,,,,,,,,
,,25500,Soil Science,202320,Spring 2023,1,38264,"Rahmani, Shams Rahman R.",29.40%,,,,11.80%,,11.80%,35.30%,,5.90%,5.90%,,,,,,,,,,,,,,,,
,,33800,Environmental Field Skills,202320,Spring 2023,1,20746,"Jame, Sadia A.",35.70%,14.30%,28.60%,,,7.10%,,,,,,,,,,14.30%,,,,,,,,,,,
,,,,,,2,22585,"Jame, Sadia A.",76.50%,,23.50%,,,,,,,,,,,,,,,,,,,,,,,,
,,38010,Hazardous Waste Handling,202320,Spring 2023,1,28657,"Bowling, Laura C.",31.00%,13.80%,34.50%,,10.30%,,10.30%,,,,,,,,,,,,,,,,,,,,
,,49700,NRES Current Topics,202320,Spring 2023,1,25647,"Bowling, Laura C.",57.70%,11.50%,11.50%,,3.80%,,11.50%,,,3.80%,,,,,,,,,,,,,,,,,
NS,NS-Naval Science,20200,Naval Science Laboratory,202320,Spring 2023,3,22934,"Emery, Jonathan M.",86.00%,9.30%,,,1.20%,,2.30%,,,,,,,,1.20%,,,,,,,,,,,,
,,21200,Naval Ship Systems-Weapons,202320,Spring 2023,1,54678,"Kwiatek, Jennifer L.",43.30%,23.30%,,,6.70%,10.00%,13.30%,,,3.30%,,,,,,,,,,,,,,,,,
,,,,,,2,29380,"Kwiatek, Jennifer L.",54.30%,22.90%,,,2.90%,2.90%,5.70%,5.70%,2.90%,,,,,,,,,,,,,,,2.90%,,,
,,21300,Sea Power & Maritm Aff,202320,Spring 2023,3,43625,"Morris, Zachary L.",13.30%,,86.70%,,,,,,,,,,,,,,,,,,,,,,,,
,,31000,Naval Navigation,202320,Spring 2023,3,43659,"Alcorn, Brandon M.",43.80%,,56.30%,,,,,,,,,,,,,,,,,,,,,,,,
,,41300,Naval Leadership & Ethics,202320,Spring 2023,1,17349,"Nelson, Christopher M.",54.50%,36.40%,9.10%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,17350,"Nelson, Christopher M.",45.50%,45.50%,9.10%,,,,,,,,,,,,,,,,,,,,,,,,
,,44000,Fundamentals Maneuver Warfare,202320,Spring 2023,1,26262,"Emery, Jonathan M.",25.00%,41.70%,8.30%,,,8.30%,16.70%,,,,,,,,,,,,,,,,,,,,
NUCL,NUCL-Nuclear Engineering,20000,Intro Nucl Engineering,202320,Spring 2023,1,22983,"Garner, Allen L.",6.20%,12.40%,7.20%,1.00%,9.30%,5.20%,10.30%,7.20%,9.30%,6.20%,,3.10%,2.10%,,11.30%,,,,,,,,,9.30%,,,
,,,Intro Nucl Engineering-Honors,202320,Spring 2023,1,22983,"Garner, Allen L.",,,,,,,,100.00%,,,,,,,,,,,,,,,,,,,
,,20500,Nucl Eng Undergr Lab I,202320,Spring 2023,14,26816,"Chatzidakis, Stylianos",12.10%,6.90%,62.10%,,3.40%,3.40%,1.70%,1.70%,,5.20%,,,,,,,,,,,,,,3.40%,,,
,,27300,Mechanics Of Materials,202320,Spring 2023,1,22992,"Lopez-De-Bertodano, Martin A.",23.30%,20.50%,15.70%,,9.00%,7.10%,11.90%,3.80%,1.00%,2.90%,0.50%,1.40%,2.40%,,0.50%,,,,,,,,,,,,
,,29800,Sophomore Seminar,202320,Spring 2023,1,22995,"Kim, Seungjin",,,,,,,,,,,,,,,,,,,,,97.60%,,,2.40%,,,
,,31000,Intro To Neutron Trans,202320,Spring 2023,2,35724,"Xu, Yunlin",8.90%,24.40%,4.40%,,4.40%,4.40%,15.60%,8.90%,6.70%,13.30%,2.20%,,2.20%,,2.20%,,,,,,,,,2.20%,,,
,,35100,Nucl Therm-Hydraul II,202320,Spring 2023,1,18433,"Bindra, Hitesh",5.70%,11.40%,,,34.30%,8.60%,22.90%,11.40%,,,2.90%,,,,,,,,,,,,,2.90%,,,
,,35500,NUCL Thermohydra Lab,202320,Spring 2023,1,15982,"Revankar, Shripad T.",19.40%,,,,61.10%,5.60%,,2.80%,,,,,,,2.80%,,,,,,,,,8.30%,,,
,,39800,Junior Seminar,202320,Spring 2023,1,38304,"Kim, Seungjin",,,,,,,,,,,,,,,,,,,,,97.40%,,,2.60%,,,
,,45000,Des In Nucl Engr,202320,Spring 2023,3,35709,"Revankar, Shripad T.",90.50%,,,,,9.50%,,,,,,,,,,,,,,,,,,,,,
,,46000,Intro Thermonuc Fusion,202320,Spring 2023,3,36669,"Choi, Chan K.",63.60%,9.10%,,,18.20%,,,9.10%,,,,,,,,,,,,,,,,,,,
,,49800,Senior Seminar,202320,Spring 2023,1,38305,"Kim, Seungjin",,,,,,,,,,,,,,,,,,,,,100.00%,,,,,,
,,51000,Nuclear React Theo I,202320,Spring 2023,WNG,14266,"Abdel-Khalik, Hany S.",41.70%,,33.30%,,25.00%,,,,,,,,,,,,,,,,,,,,,,
,,52000,Radiation Effects,202320,Spring 2023,WNG,66330,"Xie, Yi",20.00%,28.00%,8.00%,,16.00%,,12.00%,4.00%,,4.00%,,,,,,,,,,,,,,8.00%,,,
,,57000,Fuzzy Approach Engr,202320,Spring 2023,1,28938,"Tsoukalas, Lefteri",5.30%,5.30%,84.20%,,5.30%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FNY,35712,"Tsoukalas, Lefteri",,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,59700,Manuf & Mater For Nuclear,202320,Spring 2023,1,25107,"Lou, Xiaoyuan",28.60%,14.30%,,,14.30%,14.30%,14.30%,,,7.10%,,,,,,,,,7.10%,,,,,,,,
,,69600,Nuclear Engr Sem,202320,Spring 2023,1,15556,"Kim, Seungjin",,,,,,,,,,,,,,,,,,,,,100.00%,,,,,,
NUPH,NUPH-Nuclear Pharmacy,49100,Intro To Nuclear Pharmacy,202320,Spring 2023,1,10375,"Weatherman, Kara D.",81.00%,,,,15.50%,,,2.40%,,,,,,,,,,,,,,,,1.20%,,,
,,49300,Reg Considerations NP Practice,202320,Spring 2023,1,27609,"Weatherman, Kara D.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,49400,Clinical Asp Of NP Practice,202320,Spring 2023,2,17330,"Weatherman, Kara D.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
NUR,NUR-Nursing,10900,Introduction To Nursing II,202320,Spring 2023,2,11678,"Loomis, Ann L.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,17510,"Loomis, Ann L.",91.80%,,,,4.10%,,,4.10%,,,,,,,,,,,,,,,,,,,
,,,,,,9,24289,"Gilpin, Sandra J.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LC1,22829,"Gilpin, Sandra J.",97.70%,,,,2.30%,,,,,,,,,,,,,,,,,,,,,,
,,22001,Essentials Of Nur Practice II,202320,Spring 2023,27,12275,"DeWitt, Tasha M.",40.60%,,,,59.40%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,174,15387,"DeWitt, Tasha M.",35.60%,,,,63.00%,,,0.70%,,,,,,,,,,,,,,,,0.70%,,,
,,22101,Pathopharmacology II,202320,Spring 2023,1,63169,"Potetz, Janelle E.",33.00%,,,,57.50%,,,8.50%,,,0.50%,,,,,,,,,,,,,0.50%,,,
,,22201,Population Health,202320,Spring 2023,2,15390,"Lalani, Nasreen Sulaiman",86.70%,,,,11.10%,,,,,,,,,,,,,,,,,,,2.20%,,,
,,,,,,3,17578,"Richards, Elizabeth A.",90.90%,,,,9.10%,,,,,,,,,,,,,,,,,,,,,,
,,22301,Research And EBP,202320,Spring 2023,2,17581,"Adeola, Mopelola T.",95.70%,,,,4.30%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,17582,"Adams, Nicole",77.30%,,,,22.70%,,,,,,,,,,,,,,,,,,,,,,
,,31401,Adult Nursing I,202320,Spring 2023,3,10820,"Grammer, Karen J.",30.00%,,,,70.00%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,25,17609,"Grammer, Karen J.",42.40%,,,,55.90%,,,,,,,,,,,1.70%,,,,,,,,,,,
,,31501,Nur Childbearing Families,202320,Spring 2023,1,69157,"Garringer, Cynthia J.",31.60%,,,,65.80%,,,1.30%,,,,,,,,1.30%,,,,,,,,,,,
,,31601,Integration Seminar I,202320,Spring 2023,1,11948,"Alshargi, Saleh M.",92.40%,,,,7.60%,,,,,,,,,,,,,,,,,,,,,,
,,31701,Adult Nursing II,202320,Spring 2023,1,69175,"Brandenburg, Guinevere J.",47.60%,,,,52.40%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,20,21409,"Brandenburg, Guinevere J.",35.70%,,,,57.10%,,,7.10%,,,,,,,,,,,,,,,,,,,
,,,,,,23,21412,"Brandenburg, Guinevere J.",57.10%,,,,35.70%,,,,,,7.10%,,,,,,,,,,,,,,,,
,,,,,,56,23572,"Brandenburg, Guinevere J.",21.40%,,,,73.80%,,,2.40%,,,2.40%,,,,,,,,,,,,,,,,
,,31801,Psy & Mental Health Nursing,202320,Spring 2023,6,69195,"Jones, Elizabeth A.",95.20%,,,,4.80%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,31,21387,"Jones, Elizabeth A.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,34,21393,"Jones, Elizabeth A.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31901,Integration Seminar II,202320,Spring 2023,2,11978,"Alshargi, Saleh M.",79.10%,,,,18.70%,,,2.20%,,,,,,,,,,,,,,,,,,,
,,39900,Early Pred Of Cardiac Arrest,202320,Spring 2023,35,26402,"Moffat, Laura M.",95.70%,,,,4.30%,,,,,,,,,,,,,,,,,,,,,,
,,,Holistic Nur Theory & Practice,202320,Spring 2023,32,25387,"Dye, Deborah K.",87.50%,,,,8.30%,,,,,,,,,,,,,,,,,,,4.20%,,,
,,,Holistic Nur Thry&Pract-Honors,202320,Spring 2023,32,25387,"Dye, Deborah K.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NCLEX RN Preparation,202320,Spring 2023,25,14342,"Gilpin, Sandra J.",95.90%,,,,2.40%,,,1.60%,,,,,,,,,,,,,,,,,,,
,,,Nursing Peer Mentors,202320,Spring 2023,30,17661,"Gilpin, Sandra J.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Wartime Influence On Hlthcare,202320,Spring 2023,31,23745,"Johnson, Rebecca C.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,41001,Issues In Professional Nursing,202320,Spring 2023,1,13054,"Adeola, Mopelola T.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,14660,"Kean, Kelly A.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,41401,Pediatric Nursing,202320,Spring 2023,25,20407,"Hoying, Mary E.",90.50%,,,,9.50%,,,,,,,,,,,,,,,,,,,,,,
,,41501,Public Health Nursing,202320,Spring 2023,1,11022,"Ajuwon, Abidemi Mary",95.20%,,,,4.80%,,,,,,,,,,,,,,,,,,,,,,
,,41701,Leadership In Nursing,202320,Spring 2023,3,11135,"Hountz, Diane L.",90.70%,,,,9.30%,,,,,,,,,,,,,,,,,,,,,,
,,42001,Nursing Transition,202320,Spring 2023,2,13261,"Jones, Christine M.",97.30%,,,,2.70%,,,,,,,,,,,,,,,,,,,,,,
,,50200,Pharm For APN,202320,Spring 2023,1,23627,"Gallegos, Julian L.",68.20%,,,,31.80%,,,,,,,,,,,,,,,,,,,,,,
,,50300,Adv Health Assessment,202320,Spring 2023,1,23628,"Balt, Christine A.",95.80%,,,,,,,,,,,,,,,,,,,,,,,4.20%,,,
,,50500,Sociocultural Nursing,202320,Spring 2023,2,16494,"Ahmed, Azza H.",85.70%,,,,14.30%,,,,,,,,,,,,,,,,,,,,,,
,,52500,Informatics In Nursing,202320,Spring 2023,1,17218,"Jo, Soo Jung",94.10%,,,,5.90%,,,,,,,,,,,,,,,,,,,,,,
,,55200,Chronc Ill:Ped Hlth Pr,202320,Spring 2023,1,26052,"Coddington, Jennifer A.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55300,Chronc Ill:Preceptrshp,202320,Spring 2023,4,22536,"Coddington, Jennifer A.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59900,DNP Seminar,202320,Spring 2023,31,27553,"Edwards, Nancy E.",,,,,,,,,,,,,,,,,,,,,100.00%,,,,,,
,,64000,Human Factors Healthcare Engr,202320,Spring 2023,1,27414,"Mccomb, Sara A.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,67300,DNP Hlth Pol Residency,202320,Spring 2023,1,35290,"Simpson, Vicki L.",95.00%,,,,,,,,,,,,,,,,,,,,,,,5.00%,,,
,,67800,Healthcare Econ And Finance,202320,Spring 2023,1,22895,"Karagory, Pamela M.",95.20%,,,,,,,,,,,,,,,,,,,,,,,4.80%,,,
NUTR,NUTR-Nutrition Science,10600,Intro Profession Of Dietetics,202320,Spring 2023,Y01,62602,"Zoss, Donna L.",42.10%,10.50%,,,10.50%,5.30%,5.30%,,5.30%,,,,,,,,,,,,,,,21.10%,,,
,,12500,Food Safety Cert & Career Dev,202320,Spring 2023,1,62604,"Furiya, Alvin J.",62.50%,,,,31.30%,,,3.10%,,,,,,,,,,,,,,,,3.10%,,,
,,20500,Food Science I,202320,Spring 2023,10,17841,"Furiya, Alvin J.",16.70%,22.20%,33.30%,,5.60%,,22.20%,,,,,,,,,,,,,,,,,,,,
,,24500,Rookie Exp In Sports Nutrition,202320,Spring 2023,1,12730,"Clark, Rachel A.",,,,,,,,,,,,,,,,,,,100.00%,,,,,,,,
,,30300,Essentials Of Nutr,202320,Spring 2023,5,15367,"Burgess, John R.",33.70%,9.00%,33.70%,,4.50%,5.60%,6.70%,1.10%,,,,,,,4.50%,,,,,,,,,1.10%,,,
,,,,,,6,15368,"Burgess, John R.",23.90%,17.00%,28.40%,,4.50%,4.50%,9.10%,1.10%,1.10%,2.30%,1.10%,,1.10%,,3.40%,,,,,,,,,2.30%,,,
